Super Dupers Car Dealership|777 elm dr.|s
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|car|Gray|103221|6995.00
52193|2015|Chevrolet|Corvette|car|Red|45821|32995.00
61847|2018|Dodge|Challenger|car|Black|38764|28995.00
73521|2016|Tesla|Model S|car|White|62341|35995.00
84692|2019|Porsche|911|car|Silver|28193|89995.00
95218|2014|BMW|M3|car|Blue|71254|24995.00
10634|2017|Mercedes-Benz|C-Class|car|Black|54892|26995.00
21945|2020|Audi|R8|car|Yellow|15673|129995.00
32816|2013|Nissan|GT-R|car|Gray|48291|54995.00
43927|2016|Jeep|Wrangler|SUV|Orange|89432|27995.00
54738|2019|Toyota|Supra|car|Red|22187|47995.00
65849|2015|Mazda|MX-5 Miata|car|Blue|38521|18995.00
76951|2018|Subaru|WRX STI|car|White|41763|31995.00
87162|2021|Lamborghini|Huracan|car|Green|8942|249995.00
98273|2017|Chevrolet|Camaro|car|Yellow|52318|23995.00
10984|2014|Dodge|Viper|car|Red|31247|69995.00
21195|2019|McLaren|570S|car|Orange|12583|159995.00
32306|2016|Alfa Romeo|4C|car|Red|24691|44995.00
43417|2020|BMW|M5|car|Gray|28354|64995.00
54528|2015|Lexus|RC F|car|White|47892|36995.00
65639|2018|Acura|NSX|car|Blue|19247|119995.00
76741|2017|Jaguar|F-Type|car|British Racing Green|33561|48995.00
87852|2019|Mercedes-AMG|GT|car|Silver|21874|94995.00
98963|2016|Cadillac|CTS-V|car|Black|56328|39995.00
11174|2021|Chevrolet|C8 Corvette|car|Blue|12456|67995.00
22285|2014|Aston Martin|Vantage|car|Gray|38219|59995.00
33396|2018|Maserati|GranTurismo|car|Red|29847|72995.00
44407|2020|Toyota|GR Supra|car|White|18632|49995.00
